Date,CumulativeCases,TimeDays
2020-01-05,0,0
2020-01-06,0,1
2020-01-07,0,2
2020-01-08,0,3
2020-01-09,0,4
2020-01-10,0,5
2020-01-11,0,6
2020-01-12,0,7
2020-01-13,0,8
2020-01-14,0,9
2020-01-15,0,10
2020-01-16,0,11
2020-01-17,0,12
2020-01-18,0,13
2020-01-19,0,14
2020-01-20,0,15
2020-01-21,0,16
2020-01-22,0,17
2020-01-23,0,18
2020-01-24,0,19
2020-01-25,0,20
2020-01-26,0,21
2020-01-27,0,22
2020-01-28,0,23
2020-01-29,0,24
2020-01-30,0,25
2020-01-31,0,26
2020-02-01,0,27
2020-02-02,0,28
2020-02-03,0,29
2020-02-04,0,30
2020-02-05,0,31
2020-02-06,0,32
2020-02-07,0,33
2020-02-08,0,34
2020-02-09,0,35
2020-02-10,0,36
2020-02-11,0,37
2020-02-12,0,38
2020-02-13,0,39
2020-02-14,0,40
2020-02-15,0,41
2020-02-16,0,42
2020-02-17,0,43
2020-02-18,0,44
2020-02-19,0,45
2020-02-20,0,46
2020-02-21,0,47
2020-02-22,0,48
2020-02-23,0,49
2020-02-24,0,50
2020-02-25,0,51
2020-02-26,0,52
2020-02-27,0,53
2020-02-28,0,54
2020-02-29,0,55
2020-03-01,0,56
2020-03-02,0,57
2020-03-03,0,58
2020-03-04,0,59
2020-03-05,0,60
2020-03-06,0,61
2020-03-07,0,62
2020-03-08,3,63
2020-03-09,3,64
2020-03-10,3,65
2020-03-11,3,66
2020-03-12,3,67
2020-03-13,3,68
2020-03-14,3,69
2020-03-15,7,70
2020-03-16,7,71
2020-03-17,7,72
2020-03-18,7,73
2020-03-19,7,74
2020-03-20,7,75
2020-03-21,7,76
2020-03-22,24,77
2020-03-23,24,78
2020-03-24,24,79
2020-03-25,24,80
2020-03-26,24,81
2020-03-27,24,82
2020-03-28,24,83
2020-03-29,48,84
2020-03-30,48,85
2020-03-31,48,86
2020-04-01,48,87
2020-04-02,48,88
2020-04-03,48,89
2020-04-04,48,90
2020-04-05,88,91
2020-04-06,88,92
2020-04-07,88,93
2020-04-08,88,94
2020-04-09,88,95
2020-04-10,88,96
2020-04-11,88,97
2020-04-12,621,98
2020-04-13,621,99
2020-04-14,621,100
2020-04-15,621,101
2020-04-16,621,102
2020-04-17,621,103
2020-04-18,621,104
2020-04-19,2456,105
2020-04-20,2456,106
2020-04-21,2456,107
2020-04-22,2456,108
2020-04-23,2456,109
2020-04-24,2456,110
2020-04-25,2456,111
2020-04-26,5416,112
2020-04-27,5416,113
2020-04-28,5416,114
2020-04-29,5416,115
2020-04-30,5416,116
